provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
240078,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,EDINA,MN,55435,HENNEPIN,9529245100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,2500 N STATE ST,JACKSON,MS,39216,HINDS,6019844100,Acute Care Hospitals,Government - State,Yes,Y,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
383300,SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,3101 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,MULTNOMAH,5032415090,Childrens,Voluntary non-profit - Private,No,Y,,,,,,,,
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,JOHNSON,9137914200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
361323,AULTMAN ORRVILLE HOSPITAL,832 SOUTH MAIN STREET,ORRVILLE,OH,44667,WAYNE,3306823010,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,,Same as the national average,Above the national average,Same as the national average,Above the national average,
450411,EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,EASTLAND,TX,76448,EASTLAND,2546292601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Below the national average,Same as the national average,
451379,CORYELL MEMORIAL HEALTHCARE SYSTEM,1507 W MAIN STREET,GATESVILLE,TX,76528,CORYELL,2548658251,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,,,,Above the national average,Same as the national average,Same as the national average,Same as the national average
251326,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,1102 ROSE STREET,PRENTISS,MS,39474,JEFFERSON DAVIS,6017924276,Critical Access Hospitals,Government - Local,Yes,Y,,,,Same as the national average,,,,
450292,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL,KAUFMAN,TX,75142,KAUFMAN,9729327200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,7738849000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
520109,MILE BLUFF MEDICAL CENTER,1050 DIVISION ST,MAUSTON,WI,53948,JUNEAU,6088476161,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,1453 E BERT KOUNS INDUSTRIAL DRIVE,SHREVEPORT,LA,71105,CADDO,3186815000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
510086,WELCH COMMUNITY HOSPITAL,454 MCDOWELL STREET,WELCH,WV,24801,MCDOWELL,3044368461,Acute Care Hospitals,Government - State,Yes,Y,3.0,,,Same as the national average,Above the national average,Same as the national average,Below the national average,
161366,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH,IA,51601,PAGE,7122461230,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,,Same as the national average,,Same as the national average,Same as the national average,
100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,33756,PINELLAS,7274627000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
161301,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,BELMOND,IA,50421,WRIGHT,6414443223,Critical Access Hospitals,Government - Local,Yes,Y,5.0,,,Same as the national average,Above the national average,,Same as the national average,
450040,COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,LUBBOCK,8067256000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average
390049,ST LUKE'S HOSPITAL BETHLEHEM,801 OSTRUM STREET,BETHLEHEM,PA,18015,NORTHAMPTON,6109544000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
400010,HOSPITAL GENERAL DE CASTANER,CARR 135 KM 64 2,CASTANER,PR,631,LARES,7878295010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,,,
53309,MILLER CHILDREN'S HOSPITAL,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,5629338001,Childrens,Voluntary non-profit - Other,Yes,Y,,,,,,,,
360118,OHIOHEALTH MANSFIELD HOSPITAL,335 GLESSNER AVENUE,MANSFIELD,OH,44903,RICHLAND,4195268000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
500079,MULTICARE GOOD SAMARITAN HOSPITAL,401 15TH AVENUE SE,PUYALLUP,WA,98372,PIERCE,2536972102,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
181305,SAINT JOSEPH MARTIN,11203 MAIN STREET,MARTIN,KY,41649,FLOYD,6062856401,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Same as the national average,
521305,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,310 W MAIN ST,SPARTA,WI,54656,MONROE,6082692132,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,,,,,Same as the national average,Above the national average,
340021,CAROLINAS HEALTHCARE SYSTEM CLEVELAND,201 E GROVER ST,SHELBY,NC,28150,CLEVELAND,7044873000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
220060,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,2360,PLYMOUTH,5087462000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
181319,BRECKINRIDGE MEMORIAL HOSPITAL,1011 OLD HIGHWAY 60,HARDINSBURG,KY,40143,BRECKINRIDGE,2707567000,Critical Access Hospitals,Government - Local,Yes,Y,3.0,Same as the national average,,Same as the national average,Above the national average,,,Below the national average
480001,"ROY LESTER SCHNEIDER HOSPITAL,THE",9048 SUGAR ESTATE,ST THOMAS,VI,801,,8097768311,Acute Care Hospitals,Government - Local,Yes,Y,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,,Same as the national average
250081,ANDERSON RMC SOUTH,1102 CONSTITUTION AVENUE,MERIDIAN,MS,39301,LAUDERDALE,6014843590,Acute Care Hospitals,Proprietary,Yes,Y,,,,,,,,
50082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,8059882500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
271328,MARIAS MEDICAL CENTER,640 PARK AVE,SHELBY,MT,59474,TOOLE,4064343200,Critical Access Hospitals,Government - Local,Yes,Y,,,,,,,,
180004,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,440 HOPKINSVILLE STREET,GREENVILLE,KY,42345,MUHLENBERG,2703388000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
360144,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,CUYAHOGA,2164916000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
390314,COORDINATED HEALTH ORTHOPEDIC HOSPITAL,2310 HIGHLAND AVENUE,BETHLEHEM,PA,18017,LEHIGH,6106914300,Acute Care Hospitals,Physician,No,Y,,,,,Above the national average,,,
171367,GOVE COUNTY MEDICAL CENTER,520 WEST 5TH STREET,QUINTER,KS,67752,GOVE,7857543341,Critical Access Hospitals,Voluntary non-profit - Other,No,Y,,Same as the national average,,Same as the national average,,,,
330387,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,2125708000,Acute Care Hospitals,Voluntary non-profit - Private,No,,,,,,,,,
390025,KENSINGTON HOSPITAL,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,PHILADELPHIA,2154268100,Acute Care Hospitals,Voluntary non-profit - Other,No,,,,,,,,,
431326,MILBANK AREA HOSPITAL/AVERA HEALTH,301 FLYNN DRIVE,MILBANK,SD,57252,GRANT,6054324538,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,,,
110236,CORNERSTONE MEDICAL CENTER,100 GROSS CRESCENT CIRCLE,FORT OGLETHORP,GA,30742,CATOOSA,7068582000,Acute Care Hospitals,Proprietary,Yes,,,,,,,,,
281330,WARREN MEMORIAL HOSPITAL,905 SECOND ST,FRIEND,NE,68359,SALINE,4029472541,Critical Access Hospitals,Government - Local,Yes,Y,,,,,,,,
180102,LOURDES HOSPITAL,1530 LONE OAK ROAD,PADUCAH,KY,42003,MCCRACKEN,2704442444,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2.0,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
190060,LAKE CHARLES MEMORIAL HOSPITAL,1701 OAK PARK BLVD,LAKE CHARLES,LA,70601,CALCASIEU,3374943000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
501303,WILLAPA HARBOR HOSPITAL,800 ALDER STREET,SOUTH BEND,WA,98586,PACIFIC,3608755526,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,,,Same as the national average,,,,
381301,PEACEHEALTH COTTAGE GROVE COMMUNITY MEDICAL CENTER,1515 VILLAGE DRIVE,COTTAGE GROVE,OR,97424,LANE,5417675500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,,Same as the national average,Above the national average,Same as the national average,Above the national average,
390164,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,PITTSBURGH,PA,15213,ALLEGHENY,4126478788,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
250058,SOUTH CENTRAL REG MED CTR,1220 JEFFERSON ST BOX 607,LAUREL,MS,39440,JONES,6014264000,Acute Care Hospitals,Government - Local,Yes,Y,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average
110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,FULTON,4048518000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
451372,MULESHOE AREA MEDICAL CENTER,708 S 1ST ST,MULESHOE,TX,79347,BAILEY,8062724524,Critical Access Hospitals,Proprietary,Yes,Y,,,,Same as the national average,,,,
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,OH,43420,SANDUSKY,4193346617,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
50778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,SAN BERNARDINO,9095588000,Acute Care Hospitals,Voluntary non-profit - Church,No,,,,Same as the national average,,,Same as the national average,,
360259,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,LUCAS,4196907700,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,MERCER,6095867900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,6077374100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
330409,BURDETT CARE CENTER,2215 BURDETT AVE,TROY,NY,12180,RENSSELAER,5182713655,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,,,,,,,
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,60515,DUPAGE,6302755900,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,DAVIDSON,6153421000,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
670102,"AD HOSPITAL EAST, LLC","12950 EAST FREEWAY, SUITE 100",HOUSTON,TX,77015,HARRIS,7133303897,Acute Care Hospitals,Proprietary,Yes,,,,,,,,,
520034,AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DRIVE,TWO RIVERS,WI,54241,MANITOWOC,9207945000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
111326,SGMC LANIER CAMPUS,116 WEST THIGPEN AVENUE,LAKELAND,GA,31635,LANIER,2294828402,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,Same as the national average,,,,
170194,DOCTORS HOSPITAL LLC,4901 COLLEGE BLVD,LEAWOOD,KS,66211,JOHNSON,9135291801,Acute Care Hospitals,Proprietary,No,Y,,,,,,,,
170191,GREAT BEND REGIONAL HOSPITAL,514 CLEVELAND STREET,GREAT BEND,KS,67530,BARTON,6207928833,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
500072,OLYMPIC MEDICAL CENTER,939 CAROLINE ST,PORT ANGELES,WA,98362,CLALLAM,3604177000,Acute Care Hospitals,Government - Local,Yes,Y,2.0,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
110192,EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30078,GWINNETT,7707362498,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,ROME,GA,30162,FLOYD,7065096900,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,AUSTELL,GA,30106,COBB,7707324000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2.0,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,SUNFLOWER,6627562711,Critical Access Hospitals,Government - Local,Yes,Y,,Same as the national average,,Same as the national average,,,,
140155,PRESENCE ST MARYS HOSPITAL,500 W COURT ST,KANKAKEE,IL,60901,KANKAKEE,8159372490,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
140251,COMMUNITY FIRST MEDICAL CENTER,5645 W ADDISON STREET,CHICAGO,IL,60634,COOK,7732827000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
250094,MERIT HEALTH WESLEY,5001 W HARDY ST,HATTIESBURG,MS,39402,FORREST,6012688000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
450662,VALLEY REGIONAL MEDICAL CENTER,100 A ALTON GLOOR,BROWNSVILLE,TX,78526,CAMERON,9563507000,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
101302,CAMPBELLTON-GRACEVILLE HOSPITAL,5429 COLLEGE DR,GRACEVILLE,FL,32440,JACKSON,8502637201,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,,,Same as the national average,,,,
510024,MONONGALIA COUNTY GENERAL HOSPITAL,1200 JD ANDERSON DR,MORGANTOWN,WV,26505,MONONGALIA,3045981200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
271334,LIBERTY MEDICAL CENTER,315 W MADISON AVE,CHESTER,MT,59522,LIBERTY,4067595181,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,,,
260023,MERCY HOSPITAL JEFFERSON,1400 HIGHWAY 61 SOUTH,CRYSTAL CITY,MO,63019,JEFFERSON,6369331000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
241323,MADELIA COMMUNITY HOSPITAL,121 DREW AVENUE SOUTHEAST,MADELIA,MN,56062,WATONWAN,5076423255,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,,,,,,,
50222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,SAN DIEGO,6195025800,Acute Care Hospitals,Proprietary,No,Y,4.0,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,BAY,9898943000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
321308,CIBOLA GENERAL HOSPITAL,1016 E ROOSEVELT AVENUE,GRANTS,NM,87020,CIBOLA,5052874446,Critical Access Hospitals,Government - Local,Yes,Y,3.0,,,Same as the national average,Same as the national average,,Above the national average,
151331,HARRISON COUNTY HOSPITAL,1141 HOSPITAL DR NW,CORYDON,IN,47112,HARRISON,8127384251,Critical Access Hospitals,Government - Local,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,5303327300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Same as the national average,,Same as the national average,,,,
201312,WALDO COUNTY GENERAL HOSPITAL,PO BOX 287,BELFAST,ME,4915,WALDO,2073382500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,,,
50769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,9497275000,Acute Care Hospitals,Proprietary,No,Y,,,Above the national average,,Above the national average,,,
450779,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,6100 HARRIS PKWY,FORT WORTH,TX,76132,TARRANT,8174335000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5.0,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
370100,CHOCTAW MEMORIAL HOSPITAL,1405 EAST KIRK ROAD,HUGO,OK,74743,CHOCTAW,5803179500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,Same as the national average,,Same as the national average,Below the national average,Below the national average,Above the national average,
190065,BATON ROUGE GENERAL MEDICAL CENTER,3600 FLORIDA BLVD,BATON ROUGE,LA,70806,EAST BATON ROUGE,2253877767,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
381309,LAKE DISTRICT HOSPITAL,700 SOUTH J STREET,LAKEVIEW,OR,97630,LAKE,5419472114,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,,Same as the national average,,Same as the national average,Above the national average,
521315,MAYO CLINIC HEALTH SYSTEM NORTHLAND,1222 E WOODLAND AVE,BARRON,WI,54812,BARRON,7155373186,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Same as the national average,
50455,SAN JOAQUIN COMMUNITY HOSPITAL,2615 CHESTER AVENUE,BAKERSFIELD,CA,93301,KERN,6613953000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
100117,BAPTIST MEDICAL CENTER - BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,32250,DUVAL,9042472900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
110008,NORTHSIDE HOSPITAL CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,CHEROKEE,7702441000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
50300,ST MARY MEDICAL CENTER,18300 HIGHWAY 18,APPLE VALLEY,CA,92307,SAN BERNARDINO,7602422311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",10800 MAGNOLIA AVENUE,RIVERSIDE,CA,92505,RIVERSIDE,9513532000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,Same as the national average,,Below the national average,Same as the national average,,
361321,"BARNESVILLE HOSPITAL ASSOCIATION, INC",639 WEST MAIN STREET,BARNESVILLE,OH,43713,BELMONT,7404255101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,,,
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,121 E BAKER ST,INDIANOLA,MS,38751,SUNFLOWER,6628875235,Acute Care Hospitals,Government - Local,Yes,Y,3.0,Same as the national average,,Same as the national average,,Below the national average,Above the national average,Same as the national average
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,6810,FAIRFIELD,2037397000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
361307,UHHS MEMORIAL HOSPITAL OF GENEVA,870 WEST MAIN STREET,GENEVA,OH,44041,ASHTABULA,4404661141,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,5.0,Above the national average,,Same as the national average,Above the national average,Same as the national average,Same as the national average,
521311,OUR LADY OF VICTORY HOSPITAL,1120 PINE ST,STANLEY,WI,54768,CHIPPEWA,7156445571,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,,Same as the national average,,Same as the national average,Same as the national average,
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
60032,ROSE MEDICAL CENTER,4567 E 9TH AVENUE,DENVER,CO,80220,DENVER,3033202121,Acute Care Hospitals,Proprietary,Yes,Y,4.0,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
151332,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG,IN,47240,DECATUR,8126634331,Critical Access Hospitals,Government - Local,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
450422,BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,TX,75204,DALLAS,2144433000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,Above the national average,Same as the national average,Same as the national average,
100328,"MIAMI MEDICAL CENTER, THE",5959 NW 7TH AVE,MIAMI,FL,33126,MIAMI-DADE,3052641000,Acute Care Hospitals,Proprietary,No,,,,,,,,,
360044,WAYNE HOSPITAL,835 SWEITZER STREET,GREENVILLE,OH,45331,DARKE,9375475722,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,MIDDLESEX,7329378525,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
