provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
280131,MIDWEST SURGICAL HOSPITAL LLC,7915 FARNAM DRIVE,OMAHA,NE,68114,DOUGLAS,4023991900,Acute Care Hospitals,Physician,No,Y,,,,,Above the national average,,,
50057,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,5596242000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,1648 HUNTINGDON PIKE,MEADOWBROOK,PA,19046,MONTGOMERY,2159473000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,3743,SULLIVAN,6035427771,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,,,,Same as the national average
230099,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACOMB ST,MONROE,MI,48162,MONROE,7342408400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
393308,"CHILDREN'S INSTITUTE OF PITTSBURGH, THE",6301 NORTHUMBERLAND STREET,PITTSBURGH,PA,15217,ALLEGHENY,4124202400,Childrens,Voluntary non-profit - Private,No,,,,,,,,,
420104,MOUNT PLEASANT HOSPITAL,3500 HIGHWAY 17 NORTH,MOUNT PLEASANT,SC,29466,CHARLESTON,8437242954,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
460054,CACHE VALLEY HOSPITAL,2380 NORTH 400 EAST,NORTH LOGAN,UT,84341,CACHE,4357139580,Acute Care Hospitals,Proprietary,Yes,Y,,,,,Above the national average,Same as the national average,Same as the national average,
460057,PARK CITY HOSPITAL,900 ROUND VALLEY DRIVE,PARK CITY,UT,84060,SUMMIT,4356586700,Acute Care Hospitals,Proprietary,Yes,Y,4.0,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,WYANDOTTE,9135964000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
