hospital_type,total_hospitals,rated_hospitals,avg_rating,rating_coverage_pct,sample_weight,sample_adjusted_rating_score
Acute Care Hospitals,3369,2971,3.01,88.19,0.993,2.99
Critical Access Hospitals,1344,596,3.32,44.35,0.968,3.21
